amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
                             :name (z11 / nama
                                        :op1 ""Georgetown""
                                        :op2 ""Washington"")))
    :time (z12 / lalu)
    :time (z13 / entitas-tanggal))"
"# ::id 3453
# ::annotator indoamrbart-mbart-fted
# ::snt ""Kepada penelepon suara yang mengatakan mereka menemukan kaset mini dari pesawat ulang-alik Columbia: NASA sangat tertarik untuk berbicara dengan Anda dengan dasar """"tanpa pertanyaan"""".""
(z0 / mengatakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Kepada""
                        :op2 ""penelepon""
                        :op3 ""suara_)_)""
                        :ARG1 (z3 / menemukan-01
                                  :ARG0 (z4 / mereka)
                                  :ARG1 (z5 / kaset
                                            :mod (z6 / mini)
                                            :source (z7 / pesawat
                                                        :wiki -
                                                        :name (z8 / nama
                                                                  :op1 ""Columbia"")
                                                        :mod (z9 / ulang-alik))))
                        :ARG1 (z10 / bunga-01
                                   :ARG0 (z11 / organisasi
                                              :wiki ""NASA""
                                              :name (z12 / nama
                                                         :op1 ""NASA""))
                                   :ARG1 (z13 / bicara-01
                                              :ARG0 z11
                                              :ARG2 (z14 / anda)
                                              :manner (z15 / dasar
                                                           :mod (z16 / ada-01
                                                                     :polarity -
                                                                     :ARG1 (z17 / pertanyaan))))))))"
"# ::id 3454
# ::annotator indoamrbart-mbart-fted
# ::snt ""Dr. Roth juga mengatakan bahwa upaya rumah sakit untuk memulai """"klinik demam"""" di tenda parkir untuk membuat pasien menular keluar dari ruang gawat darurat """"bergerak di sepanjang mengesankan.""""""
(z0 / mengatakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Dr.""
                        :op2 ""Roth""))
    :ARG1 (z3 / usaha-01
              :ARG0 (z4 / rumah-sakit)
              :ARG1 (z5 / mulai-01
                        :ARG0 z4
                        :ARG1 (z6 / klinik
                                  :mod (z7 / demam))
                        :location (z8 / tenda
                                      :mod (z9 / parkir))
                        :purpose (z10 / buat-01
                                      :ARG0 z4
                                      :ARG1 (z11 / pasien
                                                 :ARG1-of (z12 / menular-01))
                                      :source (z13 / ruang
                                                   :mod (z14 / gawat-darurat)))
                        :location (z15 / di
                                       :op1 (z16 / sepanjang
                                                 :mod (z17 / mengesankan))))))"
"# ::id 3455
# ::annotator indoamrbart-mbart-fted
# ::snt Pendapat hukum Kline berbeda dari interpretasi yang dikeluarkan oleh mantan Jaksa Agung Bob Stephan pada tahun 1992.
(z0 / berbeda-01
    :ARG1 (z1 / interpretasi-01
              :ARG1 (z2 / orang
                        :wiki -
                        :name (z3 / nama
                                  :op1 ""Bob""
                                  :op2 ""Stephan"")
                        :ARG0-of (z4 / memiliki-peran-org-91
                                     :ARG2 (z5 / Jaksa
                                               :mod (z6 / Agung))))
              :ARG1 (z7 / dikeluarkan-01
                        :ARG0 (z8 / orang
                                  :wiki -
                                  :name (z9 / nama
                                            :op1 ""Bob""
                                            :op2 ""Stephan"")
                                  :ARG0-of (z10 / memiliki-peran-org-91
                                                :ARG2 (z11 / Jaksa
                                                           :mod (z12 / mantan))))
                        :time (z13 / entitas-tanggal)))
    :ARG2 (z14 / hukum
               :wiki -
               :name (z15 / nama
                          :op1 ""Kline""
                          :op2 ""Law"")))"
"# ::id 3456
# ::annotator indoamrbart-mbart-fted
# ::snt Wajib Pajak tidak yakin apakah mereka berutang pengembalian uang dapat menggunakan fitur interaktif di situs web IRS untuk melacak pengembalian uang atau memajukan pembayaran kredit anak.
(z0 / yakin-02
    :polarity -
    :ARG0 (z1 / orang
              :ARG0-of (z2 / pajak-01))
    :ARG1 (z3 / mungkin-01
              :ARG1 (z4 / menggunakan-01
                        :ARG0 z1
                        :ARG1 (z5 / fitur
                                  :mod (z6 / interaktif)
                                  :location (z7 / website
                                                :poss (z8 / organisasi
                                                          :wiki ""InternalRevenueService""
                                                          :name (z9 / nama
                                                                    :op1 ""IRS""))))
                        :purpose (z10 / atau
                                      :op1 (z11 / trek-01
                                                :ARG0 z1
                                                :ARG1-of (z12 / kembali-01
                                                              :ARG0 (z13 / uang)))
                                      :op2 (z14 / maju-01
                                                :ARG0 z1
                                                :ARG1-of (z15 / bayar-01
                                                              :ARG0 (z16 / kredit
                                                                         :poss (z17 / anak))))))))"
"# ::id 3457
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Jika perlu, saya akan mendukung amandemen konstitusi yang akan menghormati pernikahan antara seorang pria dan seorang wanita, mengkodifikasi itu.""""""
(z0 / mendukung-01
    :ARG0 (z1 / aku)
    :ARG1 (z2 / amandemen
              :mod (z3 / konstitusi)
              :ARG0-of (z4 / rasa-01
                           :ARG1 (z5 / pernikahan
                                     :mod (z6 / antara
                                              :op1 (z7 / man)
                                              :op2 (z8 / wanita)))))
    :condition (z9 / membutuhkan-01
                   :ARG0 z1)
    :manner (z10 / kode-01
                 :ARG0 z1
                 :ARG1 (z11 / itu)))"
"# ::id 3458
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Itulah salah satu alasan mengapa saya mencalonkan diri sebagai presiden Amerika Serikat.""""""
(z0 / rujuk-01
    :ARG0 (z1 / aku)
    :ARG1 (z2 / presiden
              :mod (z3 / negara
                       :wiki ""UnitedStates""
                       :name (z4 / nama
                                 :op1 ""United""
                                 :op2 ""States"")))
    :ARG2 (z5 / rujuk-01
              :ARG0 z1
              :ARG1 (z6 / presiden)))"
"# ::id 3459
# ::annotator indoamrbart-mbart-fted
# ::snt Sekretaris Pertanian A.S. Ann Veneman, yang mengumumkan larangan kemarin, juga mengatakan Washington akan mengirim tim teknis ke Kanada untuk membantu dalam situasi Kanada.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Ann""
                        :op2 ""Veneman"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / organisasi
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""A.S.""
                                               :op2 ""Pertanian""))))
    :ARG1 (z6 / kirim-01
              :ARG0 (z7 / kota
                        :wiki ""Washington,D.C.""
                        :name (z8 / nama
                                  :op1 ""Washington""))
              :ARG1 (z9 / tim
                        :mod (z10 / teknis))
              :destination (z11 / situasi
                                :mod (z12 / negara
                                          :wiki ""Canada""
                                          :name (z13 / nama
                                                     :op1 ""Canada""))))
    :time (z14 / kemarin))"
"# ::id 3460
# ::annotator indoamrbart-mbart-fted
# ::snt Hakim Pengadilan Kota Kabupaten Franklin Janet Grubb menyetujui pemecatan tuduhan tersebut.
(z0 / terima-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Franklin""
                        :op2 ""Janet""
                        :op3 ""Grubb"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / organisasi-pemerintah
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""Kota""
                                               :op2 ""Franklin""))
                           :ARG2 (z6 / hakim)))
    :ARG1 (z7 / lepas-01
              :ARG0 z1
              :ARG1 (z8 / menuduh-01)))"
"# ::id 3461
# ::annotator indoamrbart-mbart-fted
# ::snt ""Sementara JI telah tidak diragukan lagi hubungan dengan kelompok teroris al-Qaeda, laporan itu mengatakan hubungan itu """"mungkin kurang dari tunduk sultan ... daripada keuntungan timbal balik dan bantuan timbal balik"""".""
